  ThreadName                                                      ThreadID        FileName                        Line            
PID   USER     TIME   COMMAND
    1 root       0:01 init
  148 root       0:00 [mmcqd/2rpmb]
  232 root       0:00 [kworker/0:1H]
  233 root       0:00 [jbd2/mmcblk2p12]
  234 root       0:00 [ext4-rsv-conver]
  238 root       0:00 [jbd2/mmcblk2p5-]
  239 root       0:00 [ext4-rsv-conver]
  242 root       0:00 [jbd2/mmcblk2p6-]
  243 root       0:00 [ext4-rsv-conver]
  246 root       0:00 [jbd2/mmcblk2p10]
  247 root       0:00 [ext4-rsv-conver]
  250 root       0:00 [jbd2/mmcblk2p14]
  251 root       0:00 [ext4-rsv-conver]
  254 root       0:00 [jbd2/mmcblk2p13]
  255 root       0:00 [ext4-rsv-conver]
  264 root       0:00 /sbin/getty -L ttyS000 115200 vt100
  346 root       0:00 [LightCtrlThread]
  538 root       0:00 [hidog]
  551 root       0:00 [goodix_wq]
  554 root       0:00 [kworker/u4:2]
  560 root       0:00 [motor_queue]
  565 root       0:00 [wiegand_in_wkqu]
  597 root       0:00 [runtime_thread_]
  598 root       0:00 [runtime_mtd_thr]
  862 root       0:00 [kworker/1:1H]
  883 root       0:02 mwareserver
  887 root       0:00 {MW_MWARE_cmd} mwareserver
  889 root       0:00 {MW_CTRL_IPCTask} mwareserver
  945 root       0:00 {MOD_ModuleThr} mwareserver
  946 root       0:00 {MOD_ProcThr} mwareserver
  947 root       0:00 {DrvDbgMsgProc} mwareserver
  952 root       0:35 {ISP0_RUN} mwareserver
  953 root       0:00 {DcodeThread} mwareserver
  954 root       0:00 {VDAGetDataThd} mwareserver
  955 root       0:00 {MdGetResultThd} mwareserver
  956 root       0:00 {TDProcessThread} mwareserver
  957 root       0:00 {VDAGetFrame} mwareserver
  958 root       0:00 {JpegEncodeThrea} mwareserver
  967 root       0:00 {485SetRcvThd} mwareserver
  968 root       0:00 {TimeOSDProc} mwareserver
  969 root       0:00 {RollOSDProc} mwareserver
  970 root       0:00 {InvertClrProc} mwareserver
  971 root       0:00 {Abf_MotorSingal} mwareserver
  991 root       0:12 {IMGAutoRun(0)} mwareserver
  992 root       0:00 {GuardianThread} mwareserver
 1017 root       0:01 {MW_MWARE} mwareserver
 1018 root       0:00 {MW_CTRL} mwareserver
 1020 root       0:00 {MW_INTERFACE} mwareserver
 1021 root       0:00 {MW_SNMP} mwareserver
 1022 root       0:00 {MW_STOR_MCP} mwareserver
 1023 root       0:00 {MW_ALM} mwareserver
 1025 root       0:00 {MW_PTZ} mwareserver
 1026 root       0:00 {MW_SDK} mwareserver
 1027 root       0:00 {MW_LIGHTAPI} mwareserver
 1028 root       0:00 {MW_LISTEN} mwareserver
 1029 root       0:00 {MW_IW} mwareserver
 1030 root       0:00 {MW_SERIAL} mwareserver
 1031 root       0:00 {MW_UPNP} mwareserver
 1032 root       0:00 {MW_WEB} mwareserver
 1059 root       0:00 {MW_TRANS_ReadTa} mwareserver
 1078 root       0:00 {Test_Thread} mwareserver
 1079 root       0:00 {MP_SD_FwdThread} mwareserver
 1081 root       0:00 {MW_MCP_StoreThr} mwareserver
 1082 root       0:00 {EmailSendThread} mwareserver
 1083 root       0:00 {HTTPPushThread} mwareserver
 1092 root       0:00 {AudioCaptureThr} mwareserver
 1095 root       0:00 {MW_AUDIO_OUT} mwareserver
 1096 root       0:03 {VideoCaptureThr} mwareserver
 1101 root       0:00 mwareserver
 1102 root       0:00 {MW_STOR_QueuePr} mwareserver
 1105 root       0:00 {MW_STOR_StorRes} mwareserver
 1110 root       0:00 {BasicFTPThread} mwareserver
 1111 root       0:00 {FaceLibFTPThd} mwareserver
 1133 root       0:00 {InitCDSThd} mwareserver
 1134 root       0:00 {InitCDSThd} mwareserver
 1135 root       0:00 {InitCDSThd} mwareserver
 1136 root       0:00 {InitCDSThd} mwareserver
 1137 root       0:00 {InitCDSThd} mwareserver
 1138 root       0:00 {InitCDSThd} mwareserver
 1141 root       0:00 {InitCDSThd} mwareserver
 1143 root       0:00 {InitCDSThd} mwareserver
 1144 root       0:00 {InitCDSThd} mwareserver
 1145 root       0:00 {InitCDSThd} mwareserver
 1146 root       0:00 {InitCDSThd} mwareserver
 1147 root       0:00 {InitCDSThd} mwareserver
 1148 root       0:00 {InitCDSThd} mwareserver
 1149 root       0:00 {InitCDSThd} mwareserver
 1150 root       0:00 {InitCDSThd} mwareserver
 1151 root       0:00 {InitCDSThd} mwareserver
 1152 root       0:00 {InitCDSThd} mwareserver
 1153 root       0:00 {InitCDSThd} mwareserver
 1154 root       0:00 {InitCDSThd} mwareserver
 1155 root       0:00 {InitCDSThd} mwareserver
 1156 root       0:00 {InitCDSThd} mwareserver
 1157 root       0:00 {InitCDSThd} mwareserver
 1158 root       0:00 {InitCDSThd} mwareserver
 1159 root       0:00 {InitCDSThd} mwareserver
 1160 root       0:00 {InitCDSThd} mwareserver
 1161 root       0:00 {InitCDSThd} mwareserver
 1162 root       0:00 {InitCDSThd} mwareserver
 1163 root       0:00 {InitCDSThd} mwareserver
 1164 root       0:00 {InitCDSThd} mwareserver
 1165 root       0:00 {InitCDSThd} mwareserver
 1166 root       0:00 {InitCDSThd} mwareserver
 1167 root       0:00 {InitCDSThd} mwareserver
 1168 root       0:00 {InitCDSThd} mwareserver
 1169 root       0:00 {InitCDSThd} mwareserver
 1170 root       0:00 {MW_STOR_Recycle} mwareserver
 1171 root       0:00 {MW_STOR_UploadT} mwareserver
 1173 root       0:00 {MP_SR_ThreadPro} mwareserver
 1179 root       0:00 {MW_CTRL_InitSnm} mwareserver
 1185 root       0:00 {DiscoveryThread} mwareserver
 1186 root       0:00 {ONVIF_EVENT} mwareserver
 1187 root       0:00 {SoapListen_Task} mwareserver
 1188 root       0:00 {MW_CTRL_WEB_Htt} mwareserver
 1191 root       0:00 {LAPI_SubsThr} mwareserver
 1192 root       0:00 {LAPI_FrSubsThr} mwareserver
 1197 root       0:00 {MW_LAPI_ServerT} mwareserver
 1199 root       0:00 {Longalarm_Pipe_} mwareserver
 1200 root       0:00 mwareserver
 1201 root       0:00 {ListenThread(No} mwareserver
 1202 root       0:00 {MW_CTRL_USBDevL} mwareserver
 1224 root       0:00 {SA_main} mwareserver
 1227 root       0:00 {AM_SIP} mwareserver
 1230 root       0:00 {AM_RM} mwareserver
 1231 root       0:00 {RA_main} mwareserver
 1236 root       0:00 {NetLinkStatusRr} mwareserver
 1238 root       0:00 {MW_Ctrl_NetDete} mwareserver
 1242 root       0:01 {IW_SmartMsgProc} mwareserver
 1243 root       0:00 {MW_IW_ProcMsgFr} mwareserver
 1252 root       0:00 {VehicleDetMsgTh} mwareserver
 1253 root       0:00 {IW_ZK2IN1Thr} mwareserver
 1258 root       0:02 {FrameGetThread} mwareserver
 1259 root       0:00 {IW_ProcAlgResul} mwareserver
 1261 root       0:00 {IW_SmartMainThr} mwareserver
 1263 root       0:00 {IW_Qr-CodeThr} mwareserver
 1264 root       0:00 {IW_USBIDCardThr} mwareserver
 1265 root       0:00 {SecurityModuleT} mwareserver
 1268 root       0:00 {CardPicRecogThr} mwareserver
 1269 root       0:00 {DecodeThr} mwareserver
 1270 root       0:00 {FaceCompThr} mwareserver
 1271 root       0:01 {AcsPollingThr} mwareserver
 1272 root       0:00 {FaceRecogThr} mwareserver
 1273 root       0:16 {FaceDetThr} mwareserver
 1274 root       0:21 {PushYUVThr} mwareserver
 1276 root       0:00 {GetPictureThrd} mwareserver
 1296 root       0:00 {MW_Ctrl_RarpSer} mwareserver
 1324 root       0:12 {PushYUVThr} mwareserver
 1330 root       0:00 {PushYUVThr} mwareserver
 1340 root       0:00 {MW_UPNP} mwareserver
 1342 root       0:00 {MW_UPNP} mwareserver
 1343 root       0:00 {MW_UPNP} mwareserver
 1344 root       0:00 {MW_UPNP} mwareserver
 1346 root       0:00 {MW_UPNP} mwareserver
 1347 root       0:00 {MW_UPNP} mwareserver
 1348 root       0:00 {TaskMonitor} mwareserver
 1349 root       0:00 {NNIE_0} mwareserver
 1350 root       0:00 {Customer} mwareserver
 1351 root       0:00 {Customer} mwareserver
 1463 root       0:10 {PushYUVThr} mwareserver
 1464 root       0:00 {PushYUVThr} mwareserver
 1465 root       0:05 {PushYUVThr} mwareserver
 1466 root       0:05 {PushYUVThr} mwareserver
 1467 root       0:00 {LibTimingUpThr} mwareserver
 1472 root       0:11 {FaceDetThr} mwareserver
 1475 root       0:00 {MW_STOR_TmsThre} mwareserver
 1479 root       0:00 {MW_STOR_TmsThre} mwareserver
 1485 root       0:00 {MW_STOR_LYThrea} mwareserver
 1549 root       0:00 {MW_STOR_FtpThre} mwareserver
 1285 root       0:00 [pl011_rts]
 1286 root       0:00 [pl011_rts]
 1355 root       0:00 maintain
 1384 root       0:00 {ResetSigHandle} maintain
 1385 root       0:00 {Maintain_RecvMs} maintain
 1386 root       0:00 {Maintain_FTPMsg} maintain
 1387 root       0:00 {Maintain_BakLog} maintain
 1388 root       0:00 {MT_Discovery} maintain
 1389 root       0:00 {MT_GetCPUandMEM} maintain
 1356 root       0:03 mmi_client
 1418 root       0:02 {MMI_TimerThread} mmi_client
 1420 root       0:00 {MMI_HandlerThd} mmi_client
 1421 root       0:00 {MMI_KpLiveThd} mmi_client
 1422 root       0:00 {MMI_MsgThread} mmi_client
 1425 root       0:00 {mmi_client_cmd} mmi_client
 1426 root       0:00 mmi_client
 1362 root       0:00 daemon /program/www/daemon.cfg
 1881 root       0:00 -uvsh
 1893 root       0:00 -uvsh
 1906 root       0:01 mwareserver
 1909 root       0:00 {MW_MWARE_cmd} mwareserver
 1963 root       0:00 mwareserver
 1964 root       0:00 mwareserver
 1965 root       0:00 mwareserver
 1966 root       0:00 mwareserver
 1967 root       0:00 mwareserver
 1968 root       0:00 mwareserver
 1969 root       0:00 mwareserver
 1970 root       0:00 mwareserver
 1979 root       0:00 {MOD_ModuleThr} mwareserver
 1980 root       0:00 {MOD_ProcThr} mwareserver
 1981 root       0:00 {DrvDbgMsgProc} mwareserver
 1996 root       0:00 {ISP0_RUN} mwareserver
 1997 root       0:00 {DcodeThread} mwareserver
 1998 root       0:00 {VDAGetDataThd} mwareserver
 1999 root       0:00 {MdGetResultThd} mwareserver
 2000 root       0:00 {TDProcessThread} mwareserver
 2001 root       0:00 {VDAGetFrame} mwareserver
 2002 root       0:00 {JpegEncodeThrea} mwareserver
 2013 root       0:00 {485SetRcvThd} mwareserver
 2015 root       0:00 {TimeOSDProc} mwareserver
 2016 root       0:00 mwareserver
 2017 root       0:00 {InvertClrProc} mwareserver
 2018 root       0:00 mwareserver
 1984 root       0:00 [irq/52-VI_CAP0]
 2007 root       0:00 sh -c ps -T >> /var/log/mwareserver_thrinfo.log
 2009 root       0:00 ps -T
